,Compound,DateTime,Neg,Neu,Pos,Source,Text,Tweets Ago
0,-0.6808,2017-12-02 15:27:24,0.732,0.268,0.0,FoxNews,"RT @Stump4TrumpPAC: President Trump: ""What has been shown is no collusion. No collusion. There's been absolutely no collusion so we're very…",1
1,0.0,2017-12-02 15:27:24,1.0,0.0,0.0,FoxNews,RT @IngrahamAngle: Franken unlikely to survive. Where does this end? https://t.co/POoZmN0I5w,2
2,-0.3818,2017-12-02 15:27:23,0.795,0.205,0.0,CNN,"RT @DollarVigilante: Once Again People are Falling for False Propaganda.
#Syria #CNN #FoxNews #FakeNews
https://t.co/atzCof56ZP https://t.c…",3
3,-0.3818,2017-12-02 15:27:23,0.795,0.205,0.0,FoxNews,"RT @DollarVigilante: Once Again People are Falling for False Propaganda.
#Syria #CNN #FoxNews #FakeNews
https://t.co/atzCof56ZP https://t.c…",4
4,0.5106,2017-12-02 15:27:23,0.732,0.0,0.268,nytimes,RT @brooklynmarie: Strong words from the NYT editorial board. https://t.co/YvIMzEwYu6,5
5,0.4215,2017-12-02 15:27:23,0.865,0.0,0.135,nytimes,"RT @AynRandPaulRyan: Here's how each Senator voted and who is up for reelection in 2018.

Choose wisely, America.

https://t.co/GoOaVbH7ZK…",6
6,-0.2263,2017-12-02 15:27:23,0.853,0.147,0.0,nytimes,RT @nytimes: Honduras Declares Curfew as Protests Over Vote Count Continue https://t.co/1MnX9ejPWd,7
7,-0.7351,2017-12-02 15:27:23,0.754,0.246,0.0,CNN,"RT @hotfunkytown: On Friday, Michael Flynn pleaded guilty to lying to FBI agents about making contact with Russian Ambassador Kislyak durin…",8
8,0.0,2017-12-02 15:27:23,1.0,0.0,0.0,nytimes,"@nytimes The “benefits” are simply property being returned to its owners, who happen to have large quantities of it taken by the government.",9
9,-0.5106,2017-12-02 15:27:23,0.732,0.268,0.0,FoxNews,@realDavidFeiner @motivateme2011 @FoxNews Donald  will probably be heading to prison.,10
10,0.0,2017-12-02 15:27:23,1.0,0.0,0.0,FoxNews,"RT @FoxNews: .@SheriffClarke on immigration reform: “The only elected official in Washington, D.C. who understands that this is a crisis…is…",11
11,0.0,2017-12-02 15:27:22,1.0,0.0,0.0,nytimes,RT @nytimes: Here's how each senator voted on the Republican tax bill https://t.co/enDEsXz0CZ,12
12,-0.2144,2017-12-02 15:27:22,0.919,0.081,0.0,FoxNews,"RT @FoxNews: .@SheriffClarke: ""Mike Flynn has his problems but this has nothing to do with the Trump campaign or the Trump administration.""…",13
13,0.2577,2017-12-02 15:27:22,0.724,0.138,0.139,FoxNews,"RT @DonnaWR8: ‘You file a lawsuit in front of a FAVORABLE JUDGE, one of 600 in the country...
??pick a judge
??file the lawsuit
??they issu…",14
14,0.0,2017-12-02 15:27:22,1.0,0.0,0.0,nytimes,RT @nytimes: Updated timeline: What we now know about Michael Flynn’s phone calls with Russia https://t.co/u5HLzR0SAh,15
15,0.0,2017-12-02 15:27:22,1.0,0.0,0.0,nytimes,RT @nytimes: These documents raise new questions about what then President-elect Trump knew about Michael Flynn’s conversations https://t.c…,16
16,-0.0258,2017-12-02 15:27:22,0.755,0.125,0.121,nytimes,"RT @TedRall: Even if Trump and his gangsters go to prison, now they'll save billions of dollars on their taxes. #Fridaynewsdump https://t.c…",17
17,-0.7351,2017-12-02 15:27:22,0.733,0.267,0.0,nytimes,@BluCollarView @StockMonsterVIP Do I need to explain why 1.414 trillion added to the deficit is a bad thing? Or how… https://t.co/teDjCfRn19,18
18,0.0,2017-12-02 15:27:22,1.0,0.0,0.0,CNN,"RT @Acosta: WH source: WH ""totally in a bubble"" in denial on Russia probe when it should be a ""red alert.""
https://t.co/esIstmAH6a",19
